outcome,event_time,coef,std_error,p_value,ci_lower,ci_upper,cohort,n_treated
top3_mean_consumption,-11,-0.2068798142,0.2745025539,0.4510573022,-0.7449048199,0.3311451914,2025-08,40
top3_mean_consumption,-10,0.6012899777,0.4191726699,0.1514386211,-0.2202884554,1.4228684108,2025-08,40
top3_mean_consumption,-9,0.5800150205,0.4280386069,0.1754006552,-0.2589406491,1.4189706901,2025-08,40
top3_mean_consumption,-8,0.3511336551,0.4188721071,0.4018713944,-0.4698556748,1.1721229851,2025-08,40
top3_mean_consumption,-7,0.4032727813,0.3962109258,0.3087618539,-0.3733006333,1.1798461958,2025-08,40
top3_mean_consumption,-6,0.6863853738,0.3971005669,0.0838999545,-0.0919317373,1.4647024849,2025-08,40
top3_mean_consumption,-5,0.1170500493,0.2765900663,0.6721569082,-0.4250664806,0.6591665792,2025-08,40
top3_mean_consumption,-4,0.0836692964,0.1797087896,0.6415142567,-0.2685599313,0.4358985241,2025-08,40
top3_mean_consumption,-3,0.0665452353,0.2240692696,0.7664778817,-0.372630533,0.5057210037,2025-08,40
top3_mean_consumption,-2,0.0969370279,0.2592336979,0.7084513126,-0.41116102,0.6050350758,2025-08,40
top3_mean_consumption,1,-0.5322202097,0.2517216174,0.0344878912,-1.0255945798,-0.0388458395,2025-08,40
top3_mean_consumption,2,-0.6667645976,0.230173642,0.0037700258,-1.117904936,-0.2156242592,2025-08,40
top3_mean_consumption,3,-0.8317475461,0.2902247844,0.0041586026,-1.4005881236,-0.2629069686,2025-08,40
top3_mean_consumption,4,-0.979001271,0.2444684189,6.21192e-05,-1.458159372,-0.4998431699,2025-08,40
top3_mean_consumption,-12,0.1775333786,0.4053451918,0.6614002603,-0.6169431973,0.9720099545,2025-09,49
top3_mean_consumption,-11,0.4904185235,0.4188291997,0.2416280203,-0.3304867079,1.311323755,2025-09,49
top3_mean_consumption,-10,0.0611566533,0.3866843612,0.8743334637,-0.6967446946,0.8190580012,2025-09,49
top3_mean_consumption,-9,0.1294839476,0.377917838,0.731880894,-0.611235015,0.8702029101,2025-09,49
top3_mean_consumption,-8,0.1899210807,0.4630581482,0.6816994312,-0.7176728898,1.0975150511,2025-09,49
top3_mean_consumption,-7,0.3237553053,0.4160189251,0.43643783,-0.4916417878,1.1391523985,2025-09,49
top3_mean_consumption,-6,0.2778620105,0.3668461531,0.4487894663,-0.4411564497,0.9968804706,2025-09,49
top3_mean_consumption,-5,0.037728886,0.2814584174,0.8933647643,-0.5139296121,0.5893873841,2025-09,49
top3_mean_consumption,-4,-0.0438285261,0.1972211412,0.8241345575,-0.4303819629,0.3427249106,2025-09,49
