outcome,event_time,coef,std_error,p_value,ci_lower,ci_upper,cohort,n_treated
top3_mean_consumption,3,-23576149124809.58,,,,,2025-08,40
top3_mean_consumption,4,-23576149124809.547,,,,,2025-08,40
top3_mean_consumption,5,-23576149124809.79,,,,,2025-08,40
top3_mean_consumption,6,-23576149124809.816,,,,,2025-08,40
top3_mean_consumption,-10,-2126670315978.0105,,,,,2025-09,49
top3_mean_consumption,-9,-2126670315978.1396,,,,,2025-09,49
top3_mean_consumption,-8,-2126670315978.0063,5.214215924e+18,0.9999996746,-1.021986534e+19,1.021986108e+19,2025-09,49
top3_mean_consumption,-7,-2126670315978.1045,,,,,2025-09,49
top3_mean_consumption,-6,-2126670315978.057,,,,,2025-09,49
top3_mean_consumption,2,-2126670315979.0076,7.374014877e+18,0.9999997699,-1.445307129e+19,1.445306703e+19,2025-09,49
top3_mean_consumption,3,-2126670315978.9612,1.474802975e+19,0.9999998849,-2.890614045e+19,2.890613619e+19,2025-09,49
top3_mean_consumption,4,-2126670315978.7456,1.106102232e+19,0.9999998466,-2.167960587e+19,2.167960161e+19,2025-09,49
top3_mean_consumption,5,-2126670315979.026,5.214215924e+18,0.9999996746,-1.021986534e+19,1.021986108e+19,2025-09,49
top3_mean_consumption,-11,1261681517442.0657,,,,,2025-10,50
top3_mean_consumption,-10,1261681517442.068,,,,,2025-10,50
top3_mean_consumption,-9,1261681517441.996,,,,,2025-10,50
top3_mean_consumption,-8,1261681517442.0337,,,,,2025-10,50
top3_mean_consumption,-7,1261681517442.0298,,,,,2025-10,50
top3_mean_consumption,1,1261681517441.47,,,,,2025-10,50
top3_mean_consumption,2,1261681517441.37,,,,,2025-10,50
top3_mean_consumption,3,1261681517441.5986,,,,,2025-10,50
top3_mean_consumption,4,1261681517441.3289,,,,,2025-10,50
top3_mean_consumption,-12,411018719329.39374,,,,,2025-11,148
top3_mean_consumption,-11,411018719329.353,,,,,2025-11,148
top3_mean_consumption,-10,411018719329.344,,,,,2025-11,148
top3_mean_consumption,-9,411018719329.34814,,,,,2025-11,148
top3_mean_consumption,-8,411018719329.3497,,,,,2025-11,148
top3_mean_consumption,0,411018719328.51074,,,,,2025-11,148
top3_mean_consumption,1,411018719328.6648,,,,,2025-11,148
top3_mean_consumption,2,411018719328.6712,,,,,2025-11,148
top3_mean_consumption,3,411018719328.6898,,,,,2025-11,148
top3_mean_consumption,-12,0.0315607467,0.1796904416,0.8605771357,-0.3206325188,0.3837540123,2025-12,121
top3_mean_consumption,-11,-0.0005963437,0.1929819424,0.9975344186,-0.3788409509,0.3776482635,2025-12,121
top3_mean_consumption,-10,0.0345774569,0.2133662475,0.8712611042,-0.3836203882,0.4527753021,2025-12,121
top3_mean_consumption,-9,-0.002093524,0.1969552341,0.9915190932,-0.3881257829,0.3839387349,2025-12,121
top3_mean_consumption,0,-0.42443652,0.1589525688,0.0075804131,-0.7359835548,-0.1128894852,2025-12,121
top3_mean_consumption,1,-0.2954690265,0.1553758662,0.0572181807,-0.6000057243,0.0090676713,2025-12,121
top3_mean_consumption,2,-0.4977584788,0.1551210403,0.0013327199,-0.8017957177,-0.1937212398,2025-12,121
