outcome,event_time,coef,std_error,p_value,ci_lower,ci_upper,cohort,n_treated
top3_mean_consumption,-8,-0.2629800363,0.3750046016,0.4831336014,-0.9979890553,0.4720289828,2025-07,64
top3_mean_consumption,-7,-0.0668410366,0.357199578,0.8515624833,-0.7669522095,0.6332701364,2025-07,64
top3_mean_consumption,-6,-0.1003251443,0.356904999,0.7786355299,-0.7998589424,0.5992086538,2025-07,64
top3_mean_consumption,-5,0.1080419051,0.205134833,0.5984107774,-0.2940223676,0.5101061779,2025-07,64
top3_mean_consumption,-4,0.1781724287,0.2390211035,0.4560145253,-0.2903089341,0.6466537914,2025-07,64
top3_mean_consumption,-3,-0.1735471183,0.2030058289,0.3926135056,-0.5714385428,0.2243443063,2025-07,64
top3_mean_consumption,-2,-0.4326748345,0.2192024801,0.0483977538,-0.8623116954,-0.0030379736,2025-07,64
top3_mean_consumption,0,0.977862427,0.4085268376,0.0166825312,0.1771498252,1.7785750287,2025-07,64
top3_mean_consumption,1,0.6983902514,0.3715172784,0.0601309106,-0.0297836142,1.426564117,2025-07,64
top3_mean_consumption,2,0.6450997457,0.3720228773,0.0829123237,-0.0840650939,1.3742645853,2025-07,64
top3_mean_consumption,3,0.5675533654,0.3954092348,0.151185427,-0.2074487349,1.3425554656,2025-07,64
top3_mean_consumption,4,0.7161815926,0.3974692387,0.0715683574,-0.0628581153,1.4952213005,2025-07,64
top3_mean_consumption,-12,-1.078049974,0.4233413145,0.0108800878,-1.9077989504,-0.2483009975,2025-08,40
top3_mean_consumption,-11,-1.0643374474,0.4289530335,0.0130924455,-1.9050853931,-0.2235895018,2025-08,40
top3_mean_consumption,-10,-0.4230633396,0.4375556436,0.3336045528,-1.2806724011,0.434545722,2025-08,40
top3_mean_consumption,-9,-0.4581115226,0.3821433637,0.2306076989,-1.2071125154,0.2908894703,2025-08,40
top3_mean_consumption,-8,-0.3185192639,0.4070743588,0.4339444846,-1.1163850073,0.4793464794,2025-08,40
top3_mean_consumption,-7,-0.441576892,0.4058574833,0.2765908109,-1.2370575593,0.3539037754,2025-08,40
top3_mean_consumption,-6,-0.2871260459,0.4403557997,0.5143805687,-1.1502234133,0.5759713215,2025-08,40
top3_mean_consumption,-5,-0.0825062133,0.3031284943,0.7854818444,-0.6766380622,0.5116256356,2025-08,40
top3_mean_consumption,-4,-0.0315920707,0.2648097503,0.9050368832,-0.5506191812,0.4874350398,2025-08,40
top3_mean_consumption,-3,-0.1351375212,0.2203621313,0.5397097162,-0.5670472985,0.2967722562,2025-08,40
top3_mean_consumption,-2,0.0900209253,0.3073604522,0.7696109019,-0.5124055609,0.6924474116,2025-08,40
top3_mean_consumption,0,1.1701303639,0.6337779055,0.0648518138,-0.0720743308,2.4123350587,2025-08,40
top3_mean_consumption,1,1.0100102094,0.4825054937,0.0363258108,0.0642994417,1.9557209771,2025-08,40
top3_mean_consumption,2,0.8903620505,0.4556619491,0.05070158,-0.0027353697,1.7834594707,2025-08,40
top3_mean_consumption,3,0.4539175378,0.4575168623,0.3211326925,-0.4428155124,1.350650588,2025-08,40
top3_mean_consumption,4,0.9167473136,0.4615308977,0.046997981,0.0121467542,1.821347873,2025-08,40
top3_mean_consumption,-12,-0.4515989615,0.4505859205,0.3162236975,-1.3347473657,0.4315494426,2025-09,49
top3_mean_consumption,-11,-0.0875599211,0.4448899598,0.8439742408,-0.9595442423,0.7844244,2025-09,49
top3_mean_consumption,-10,-0.4414173111,0.448158767,0.3246449777,-1.3198084943,0.4369738722,2025-09,49
top3_mean_consumption,-9,-0.2597876913,0.4377570706,0.5528788773,-1.1177915496,0.5982161671,2025-09,49
top3_mean_consumption,-8,0.0994909621,0.4632141589,0.8299357747,-0.8084087894,1.0073907136,2025-09,49
top3_mean_consumption,-7,0.0323423723,0.4008770739,0.9356972164,-0.7533766925,0.8180614371,2025-09,49
top3_mean_consumption,-6,0.2043710388,0.3792526494,0.5899708025,-0.538964154,0.9477062316,2025-09,49
top3_mean_consumption,-5,-0.1929446246,0.2370811425,0.4157402235,-0.6576236639,0.2717344147,2025-09,49
top3_mean_consumption,-4,-0.0627385113,0.2297630851,0.7848090904,-0.5130741581,0.3875971355,2025-09,49
top3_mean_consumption,-3,0.1380974733,0.2131791017,0.5171141599,-0.279733566,0.5559285127,2025-09,49
top3_mean_consumption,-2,-0.0373809429,0.223167529,0.8669753017,-0.4747892997,0.400027414,2025-09,49
top3_mean_consumption,0,0.8040585184,0.3772254951,0.0330474542,0.064696548,1.5434204887,2025-09,49
top3_mean_consumption,1,0.7641877714,0.4541780866,0.0924577882,-0.1260012783,1.6543768211,2025-09,49
top3_mean_consumption,2,0.4037143347,0.4801977015,0.4005018693,-0.5374731602,1.3449018296,2025-09,49
top3_mean_consumption,3,0.4250585306,0.4558769469,0.3511311307,-0.4684602854,1.3185773466,2025-09,49
top3_mean_consumption,4,0.4082068204,0.4796195654,0.3947107847,-0.5318475277,1.3482611685,2025-09,49
top3_mean_consumption,-12,-0.7015203326,0.4311902444,0.1037500009,-1.5466532116,0.1436125464,2025-10,50
top3_mean_consumption,-11,-0.6819020994,0.4406379536,0.1217345956,-1.5455524884,0.1817482897,2025-10,50
top3_mean_consumption,-10,-0.805082253,0.4157272142,0.0527986927,-1.6199075929,0.0097430869,2025-10,50
top3_mean_consumption,-9,-0.7588044415,0.3482276532,0.0293281729,-1.4413306417,-0.0762782413,2025-10,50
top3_mean_consumption,-8,-0.3945695584,0.3576934158,0.2699862277,-1.0956486533,0.3065095366,2025-10,50
top3_mean_consumption,-7,-0.0577822146,0.4063164267,0.8869142195,-0.8541624109,0.7385979816,2025-10,50
top3_mean_consumption,-6,-0.2543892857,0.3950332878,0.5195953814,-1.0286545297,0.5198759583,2025-10,50
top3_mean_consumption,-5,0.0851108617,0.3726732896,0.8193513874,-0.6453287859,0.8155505092,2025-10,50
