outcome,event_time,coef,std_error,p_value,ci_lower,ci_upper,cohort,n_treated
top3_mean_consumption,-3,-0.6412138393,0.2563416421,0.0123702206,-1.1436434578,-0.1387842208,2025-07,64
top3_mean_consumption,-2,-0.2670115713,0.2351584613,0.2561852239,-0.7279221554,0.1938990129,2025-07,64
top3_mean_consumption,0,0.2284035696,0.2249886581,0.3100209143,-0.2125742003,0.6693813395,2025-07,64
top3_mean_consumption,1,0.1328482428,0.2352785606,0.5723170438,-0.328297736,0.5939942215,2025-07,64
top3_mean_consumption,2,0.2442582078,0.2438279652,0.3164573305,-0.2336446041,0.7221610196,2025-07,64
top3_mean_consumption,3,0.0841083482,0.2688096749,0.754362853,-0.4427586145,0.6109753109,2025-07,64
top3_mean_consumption,4,-0.2282377061,0.2661852359,0.3912020985,-0.7499607685,0.2934853564,2025-07,64
top3_mean_consumption,5,-0.3138662268,0.2679880634,0.2415204843,-0.839122831,0.2113903775,2025-07,64
top3_mean_consumption,6,-0.3436391277,0.3445833806,0.318638457,-1.0190225536,0.3317442982,2025-07,64
top3_mean_consumption,-12,-1.5250768448,0.4808506716,0.0015158988,-2.4675441611,-0.5826095286,2025-08,40
top3_mean_consumption,-11,-1.3614227486,0.5056411425,0.0070925277,-2.3524793879,-0.3703661094,2025-08,40
top3_mean_consumption,-10,-1.0055184493,0.5650097549,0.0751335945,-2.112937569,0.1019006704,2025-08,40
top3_mean_consumption,-9,-1.0431890282,0.5040023336,0.0384701483,-2.031033602,-0.0553444544,2025-08,40
top3_mean_consumption,-8,-0.9484038902,0.5104859474,0.0631909938,-1.9489563471,0.0521485667,2025-08,40
top3_mean_consumption,-7,-0.8882542875,0.4811308647,0.0648660415,-1.8312707824,0.0547622074,2025-08,40
top3_mean_consumption,-6,-0.8416641373,0.447979097,0.0602714992,-1.7197031675,0.0363748929,2025-08,40
top3_mean_consumption,-5,-0.912270717,0.5189072071,0.0787370672,-1.9293288428,0.1047874089,2025-08,40
top3_mean_consumption,-4,-0.713312576,0.5037581026,0.1567806757,-1.7006784572,0.2740533052,2025-08,40
top3_mean_consumption,-3,-1.1636898639,0.4362121586,0.0076368933,-2.0186656947,-0.3087140332,2025-08,40
top3_mean_consumption,-2,-0.8025878441,0.3351200455,0.0166237018,-1.4594231332,-0.145752555,2025-08,40
top3_mean_consumption,0,0.398950642,0.3111633805,0.1997984704,-0.2109295839,1.0088308678,2025-08,40
top3_mean_consumption,1,0.3557444791,0.3481061578,0.3068081131,-0.3265435901,1.0380325484,2025-08,40
